feature,importance_mean,importance_std,val_imp_0,val_imp_1,val_imp_2,val_imp_3
time_diff_ArrowRight_sum,0.003988817431939684,0.0036514558671576925,-0.0004281935004440962,0.00526871201275364,0.009249506061999146,0.0018652451534500458
cursor_position_diff_Remove/Cut_sum,0.0036622230702248043,0.0031528490975994148,0.000881001970121642,0.00526871201275364,0.008041411559000844,0.00045776673902309106
cursor_position_diff_q_std,0.0034172804186933803,0.003388646851083778,-9.876863600405406e-05,0.00526871201275364,0.008041411559000844,0.00045776673902309106
IKI_bw_letter_mean,0.0033657618627297853,0.004495338291487897,0.004736551953872625,0.0013826053426994056,0.009788839462445409,-0.0024449493080982987
40s_extrema_per_user,0.003314503349783532,0.004927149870590625,0.0023151158455486653,0.00627375232405758,0.008870273228424652,-0.00420112799889677
IKI_median,0.0032154026288710585,0.003903790045714563,0.0043394895561695845,-0.00039620143838026145,0.009125914929471735,-0.00020759253177682346
sequence_of_backspaces_min,0.003197785290797575,0.0016826697251383924,0.004736551953872625,0.0016503968937702784,0.005013622965993114,0.0013905693495542826
word_len_q3,0.0031341490529382676,0.00397577618785085,0.005759329544237746,0.0013826053426994056,0.007839610632914218,-0.0024449493080982987
cursor_position_change_20_std,0.002996671408868057,0.004498520394420925,-0.0002832521101328589,0.005162051213261687,0.009249506061999146,-0.002141619529655747
sd_keystrokes_30s,0.002917232237964848,0.004578359907636069,-0.0009174066591413621,0.00526871201275364,0.009249506061999146,-0.0019318824637520327
IKI_skew,0.0028784546553469875,0.0038288963530210816,0.004736551953872625,0.0013826053426994056,0.007839610632914218,-0.0024449493080982987
word_count_diff_abostrove_std,0.0028784546553469875,0.0038288963530210816,0.004736551953872625,0.0013826053426994056,0.007839610632914218,-0.0024449493080982987
down_event_1_cnt,0.0028771926213961574,0.004600180260231035,-0.0007807847521455469,0.005162051213261687,0.009269123554124237,-0.002141619529655747
cursor_position_change_1_mean,0.0028647979714889193,0.00463445218398424,-0.0009174066591413621,0.00526871201275364,0.009249506061999146,-0.002141619529655747
word_count_diff_q_mean,0.0028110532790610737,0.0030301910527769744,-9.876863600405406e-05,0.0033363009235967134,0.0075489140896285445,0.00045776673902309106
time_diff_Leftclick_sum,0.0028107242520988285,0.0046964423161458,0.0023151158455486653,0.004258635933318766,0.008870273228424652,-0.00420112799889677
R-bursts_first,0.002612060860410964,0.004738152308305672,0.005759329544237746,0.0013826053426994056,0.007839610632914218,-0.004533302078207513
text_change_7_cnt,0.002610288917860068,0.003287837076326899,-0.00035550711044302075,0.006302450278761473,0.005452389832404203,-0.0009581773292823836
paragraph_word_count_std,0.002541291061643358,0.004001160861667261,-0.0030598287388592937,0.0034987611737342106,0.008100871279119293,0.001625360532579223
backspacing_time_count,0.0025183577613057673,0.0032114788461467293,0.001259901622710835,0.005313820299645888,0.005666158209296335,-0.002166449086429989
time_diff_comma_max,0.00251319055193136,0.004244461413504045,-9.876863600405406e-05,0.002833907245482381,0.009249506061999146,-0.0019318824637520327
action_time_gap_50_max,0.0024173029313346722,0.0048999928980534525,-0.00014811886546989284,0.004387363343327677,0.009249506061999146,-0.003819538814518242
action_time_median,0.0023965869633260084,0.0040342454742451316,-0.0009174066591413621,0.005162051213261687,0.007483322828839456,-0.002141619529655747
event_time_ratio,0.0023489092294688985,0.00481187578697103,0.0004678557550289453,0.004258635933318766,0.008870273228424652,-0.00420112799889677
cursor_position_change_3_mean,0.0023489092294688985,0.00481187578697103,0.0004678557550289453,0.004258635933318766,0.008870273228424652,-0.00420112799889677
max_keystrokes_30s,0.002334209404873333,0.003185731439539065,0.004736551953872625,0.0013826053426994056,0.0056626296310196,-0.0024449493080982987
time_diff_Delete_mean,0.002334209404873333,0.003185731439539065,0.004736551953872625,0.0013826053426994056,0.0056626296310196,-0.0024449493080982987
entropy_keystrokes_60s,0.002334209404873333,0.003185731439539065,0.004736551953872625,0.0013826053426994056,0.0056626296310196,-0.0024449493080982987
time_diff_ArrowLeft_sum,0.002334209404873333,0.003185731439539065,0.004736551953872625,0.0013826053426994056,0.0056626296310196,-0.0024449493080982987
cursor_position_diff_Nonproduction_max,0.0023217897107030566,0.002737930714357148,0.0009216649218753981,0.004496163498451833,0.005325614697535175,-0.0014562842750501792
IKI_sum,0.002307270962249766,0.0031578057143152854,0.004736551953872625,0.0013826053426994056,0.005554875860525332,-0.0024449493080982987
sd_keystrokes_10s,0.0022022507910240685,0.00297839063118125,0.004736551953872625,0.0013826053426994056,0.005013622965993114,-0.002323777098468871
cursor_position_change_10_std,0.0021922599853425456,0.005031552796237693,-0.0010482906494383992,0.004387363343327677,0.009249506061999146,-0.003819538814518242
cursor_position_diff_Space_sum,0.0021922599853425456,0.005031552796237693,-0.0010482906494383992,0.004387363343327677,0.009249506061999146,-0.003819538814518242
cursor_position_diff_ArrowRight_max,0.0021922599853425456,0.005031552796237693,-0.0010482906494383992,0.004387363343327677,0.009249506061999146,-0.003819538814518242
down_event_13_cnt,0.0021922599853425456,0.005031552796237693,-0.0010482906494383992,0.004387363343327677,0.009249506061999146,-0.003819538814518242
slope_keystrokes_60s,0.002160590009928423,0.0022286566350997066,0.002296219314752712,0.004496163498451833,0.0033062615015593266,-0.0014562842750501792
sent_len_mean,0.0021515980992957706,0.0050114610476160275,-0.0010375622953789354,0.004213987445081113,0.009249506061999146,-0.003819538814518242
word_len_max_IKI_ median_Divid,0.002131566966631457,0.005104637391919493,-0.0010482906494383992,0.004387363343327677,0.009249506061999146,-0.004062310889362597
