feature,importance_mean,importance_std,val_imp_0,val_imp_1,val_imp_2,val_imp_3
cursor_position_diff_ArrowDown_std,0.004407810177664784,0.008369136182290201,0.00011040142785290197,0.0065805856120280115,-0.005815351739691055,0.016755605410469276
word_len_ge_4_count_word_len_ge_5_count_MULT,0.004318012592110662,0.004014275733987588,0.00031819953997397343,0.007039035393893944,0.0004720138169783117,0.009442801617596419
word_count_diff_Paste_median,0.004205020392502645,0.0060403516598179765,0.007927322393427139,0.0066596466523852205,-0.006197315799459424,0.008430428323657646
down_event_5_cnt_sent_len_ge_50_count_Div,0.004154633459145976,0.003787362551347727,8.847817534396452e-05,0.006930947980233526,0.0007806563130193234,0.00881845136798709
backspacing_time_max,0.003996606235580014,0.0035056745091199227,0.00014007612543071035,0.0072657485626205776,0.0008678458318395754,0.007712754422429191
sent_len_ge_50_count_time_diff_Input_mean_Div,0.0037396889251190557,0.007110669021750593,0.008726909485270884,0.008680788781354143,-0.008424257595786189,0.005975315029637385
cursor_position_change_5_sum,0.003677722112929771,0.005448286869761771,-0.0009204465657534078,0.0052964717707141284,-0.0015606195341859586,0.011895482780944322
cursor_position_diff_ArrowUp_max,0.0035049696731973695,0.0052636976535376315,-0.0015183023519943495,0.0031088504564590336,0.0002669355187803202,0.012162395069544474
mean_keystrokes_120s,0.0034745557808940203,0.00585096686224701,0.0031707711123835636,0.0010128880771398951,-0.0031101296726560035,0.012824693606708626
num_revision_bursts,0.003440628844097862,0.005889997068051164,0.0029471495761883015,0.0010128880771398951,-0.0031101296726560035,0.012912607395719256
time_diff_Shift_max,0.0034336374277426085,0.006067407579589228,0.0030557217638118583,0.0010128880771398951,-0.003453604397854415,0.013119544267873096
time_diff_dot_max,0.0034162020066379195,0.006012162473241808,0.0026182588769605997,0.0010128880771398951,-0.00313938598729957,0.013173047059750753
cursor_position_diff_ArrowDown_max,0.00333745869135757,0.0050511459226195345,0.006574643048060935,-0.0008764921459897268,-0.002229838043709853,0.009881521907068924
action_time_gap_50_sum,0.003230707694147142,0.005358413033439821,0.007111754388125446,-0.0005267823673987815,-0.0033755901928085863,0.009713448948670489
word_len_ge_6_count_md,0.003178407188142565,0.005328658967844249,0.008314793649634555,-0.0027312214873744245,-0.0015326818210285587,0.008662738411338688
num_insertion_bursts,0.0030622858506527267,0.007412428936264051,0.009920457500788904,0.0040368471969750575,-0.00925396962432129,0.007545808329168235
cursor_position_diff_Remove/Cut_median,0.0030484532858592595,0.003674455392057872,0.005546082767240612,0.004646492478431186,-0.003290497251025648,0.005291735148790888
cursor_position_diff_Leftclick_sum,0.003027605067499453,0.007408111358766305,0.009920457500788904,0.0038981240643619075,-0.00925396962432129,0.007545808329168291
