feature,importance_mean,importance_std,val_imp_0,val_imp_1,val_imp_2,val_imp_3
sent_len_median_paragraph_count_Div,0.0032396726307287876,0.0074888875506014885,0.0075387074511967245,-0.008114611911165248,0.0016661214103559918,0.011868473572527682
P-bursts_count,0.0031586355713139475,0.005385031623182485,0.010591442197685319,-0.004044025422679232,0.0009408455742813127,0.00514627993596839
word_len_max_pauses_1_sec_Divid,0.0027373071775156216,0.006206817071951517,0.01030923252343885,-0.0035431773119644627,-0.0032228212162744296,0.007405994714862529
cursor_position_change_2_sum,0.001996344821712459,0.0010829670569980489,0.0021587334551316784,0.0001805228122256919,0.002803440306614502,0.002842682712877964
IKI_bw_letter_max,0.0019723200896261395,0.0027250325384474664,0.0038335726509815538,-0.002094375431072326,0.0011686121234866231,0.004981471015108707
time_diff_Space_max,0.0019176734541152957,0.003875171678405995,0.005267073637758746,-0.00426877313933427,0.001526113382068317,0.00514627993596839
word_count_sem,0.0019118313875685355,0.004522037596769414,0.005337640856854842,-0.0057436848723314005,0.0029070896297823112,0.00514627993596839
time_diff_q_std,0.0017845867315099129,0.0034294908140691752,0.006743709545648846,0.003129275067121129,-0.0007446127876534203,-0.001990024899076903
paragraph_len_sem,0.0016436458668561554,0.0019066275195410176,0.0029714947538693748,-0.000597441645337704,0.0040157619421388735,0.0001847684167540775
time_diff_Nonproduction_sum,0.0016021997708121766,0.005317728148382563,0.006399046928488916,-0.00533652549530822,-0.0017801441634968662,0.007126421813564876
input_word_length_mean_IKI_ median_Divid,0.0014760535459764357,0.0051896734510698105,0.005269433086115827,-0.003960426795717398,-0.003289698852976697,0.00788490674648401
paragraph_word_count_sum,0.0014611884150712434,0.0034688853826060915,0.0023999310248754013,0.0045854537088929614,-0.004393689391371192,0.0032530583178878025
cursor_position_change_1_sum,0.0014346774834360643,0.002937916063340551,0.0038335726509815538,-0.002094375431072326,-0.0008000527808769142,0.004799565494711944
up_time_min,0.0012647429411790367,0.0030455672274040148,0.00554238818817776,-0.0022159094979237737,-0.0009185685677066124,0.0026510616421687727
20_distance_stats_sum,0.0012518975383228603,0.004449244851481285,0.005267073637758746,-0.006078685239503279,0.001526113382068317,0.004293088372967657
time_diff_q_max,0.0011152439520774743,0.003213628232405893,0.00661522397533848,-0.0015162632510201113,-0.00042133279275097246,-0.00021665212325749916
time_diff_ArrowDown_std,0.0010741559462537353,0.003767225717784534,0.0038335726509815538,0.0005008640059193104,-0.0048373783665978665,0.004799565494711944
cursor_position_change_100_std,0.0009863051554615532,0.0055955163729930636,0.007974008240248909,-0.007221805145274485,0.003632859411675071,-0.00043984188480328257
40s_extrema_per_user,0.0009830271625997367,0.0035142854920604343,0.004328020533831578,-0.0028376597845796714,-0.0022070290882969523,0.004648776989443992
time_diff_Backspace_sum,0.0009786860566252803,0.004551353979288186,0.006224896951763037,-0.003960426795717398,-0.0031051665822264263,0.004755440652681908
time_diff_Nonproduction_max,0.0009399595096694496,0.003424824829137079,0.004220630382940738,-0.0047991995487071115,0.0024813496312436345,0.0018570575732005379
paragraph_len_skew,0.0008864436815248511,0.0018329254638818045,-0.002222939074352559,0.001983395969512969,0.0013721018168383337,0.002413216014100661
sent_len_skew,0.0008711392257797212,0.00417339831659788,0.006122169315814774,-0.0014107539441481909,-0.004643365559164059,0.003416507090616361
time_diff_dot_std,0.0008067543931352672,0.0031900334676187463,0.0009550296702663386,0.005961298004880489,-0.0020089788335246883,-0.0016803312690810701
time_diff_Enter_mean,0.0007637093527060462,0.00243963484679795,0.0023662737149667268,-0.0015135250372201314,-0.0017119321635692963,0.003914020896646886
time_diff_Space_mean,0.0007155597273337949,0.0073728531558344395,0.009405481281610784,-0.01066805398123144,0.004148846342048096,-2.4034733092259675e-05
text_change_2_cnt,0.0006977020981482618,0.0012670129904665144,0.001150262831413007,0.001983395969512969,-0.0014068812310302214,0.0010640308226972928
time_diff_Shift_max,0.0006629148896892534,0.004528177956856754,-0.0011899792664413766,1.2485762500236142e-05,-0.004210290565255126,0.00803944362795328
leading-edge revisions_std,0.0006587718471239151,0.0038512189895566697,0.0017723011548874679,-0.005775514218267552,0.002193908053197524,0.004444392398678221
action_time_gap_50_std,0.0006098750525502239,0.005750960633084382,0.004735695730024803,-0.00878115304631899,0.00581339136401432,0.0006715661624807634
long_pauses_std,0.0005651987525617519,0.001983705984767757,0.003707807059779855,-0.00033624881060784206,0.0005716415200384128,-0.0016824047589634183
time_diff_Nonproduction_median,0.0005413316364009102,0.000992398494323156,0.0008998129359553686,0.001983395969512969,-0.00012401734597966563,-0.000593865013885031
cursor_position_diff_comma_sum,0.0004900868512996842,0.0018907482646593962,0.0034728553124840356,-0.00033624881060784206,0.0005061456622859617,-0.0016824047589634183
down_event_8_cnt_pauses_1_sec_Divid,0.0004720093063839831,0.006145699250050148,0.004501126573798198,-0.004129667891295374,-0.00677514771518406,0.008291726258217169
median_keystrokes_10s,0.0004690321701944222,0.0034509449135474,0.0038335726509815538,-0.0007238692012174197,-0.004650081859602806,0.003416507090616361
time_diff_ArrowRight_mean,0.00044458296250664275,0.0017164962959000357,0.0021378852065269127,-0.0012950563640138912,0.002183960566890686,-0.0012484575593771363
max_keystrokes_60s,0.0004239372372868977,0.006150491838520355,0.008953394216527577,-0.008168379083130783,0.0019936594131554908,-0.0010829255974046936
cursor_position_median,0.0004117135360353352,0.00437159791086258,0.0022460770774239136,-0.006686348443532275,0.0009408455742813127,0.00514627993596839
